artist_count,released_year,streams,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_playlists,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,key_encoded,mode_encoded
1,2004,1241559043,12985,61,49,98,2394,84,62,24,67,21,0,13,28,7,1
1,2023,29562220,77,35,8,166,4,134,81,53,72,51,0,12,5,7,1
1,2022,77309611,266,27,6,40,6,158,54,50,40,61,0,10,6,2,0
3,2017,1605224506,21097,52,384,135,1034,116,80,92,80,4,0,10,3,4,0
1,2017,1116995633,3423,21,41,100,59,117,61,45,69,2,0,9,3,4,0
1,2021,838079900,4198,44,98,108,327,114,77,65,72,2,0,7,5,8,1
1,2011,1163620694,14739,43,88,112,2163,108,61,47,68,0,0,13,3,5,1
2,2012,1093605526,26792,32,69,113,695,144,74,37,53,7,0,21,10,7,1
1,2022,179659294,213,6,7,6,0,130,51,18,44,76,0,11,3,8,0
2,2023,39058561,58,18,2,106,4,116,77,79,62,33,1,15,3,3,0
1,2023,36912123,99,15,21,52,6,121,65,49,78,0,0,17,4,10,0
1,1985,1205951614,41751,25,101,32,2655,112,64,54,81,36,0,11,6,10,0
1,2014,1791000570,21164,36,80,65,476,100,70,47,52,30,0,6,33,2,1
1,2023,201660859,2988,59,74,102,145,150,55,30,78,24,0,12,8,6,1
2,2023,248088961,893,38,19,23,24,120,84,96,71,18,0,34,17,8,1
3,2023,90839753,1094,34,40,58,47,127,82,89,85,4,0,23,6,3,1
1,2020,607123776,7324,22,25,81,61,90,51,42,61,53,0,9,3,8,0
2,2023,55842345,201,11,19,117,8,128,75,79,63,33,0,15,4,1,1
2,2023,211050784,5120,48,161,115,246,143,64,31,87,4,4,8,4,1,0
1,2022,342897938,2346,27,69,12,38,139,74,68,68,3,0,26,4,11,0
2,2022,2762,763,26,21,110,21,162,49,78,64,19,0,11,4,2,0
1,2021,330346424,457,24,8,116,4,92,81,39,60,31,0,7,3,0,0
1,2022,601863821,3430,38,45,69,52,95,87,57,55,10,0,29,7,8,0
3,2011,1953533826,6074,52,201,44,6551,146,63,88,93,3,0,10,8,5,0
1,2019,2322580122,21915,34,437,115,1212,95,55,56,82,12,0,34,5,0,0
2,2017,2355719893,15032,30,221,96,1078,115,35,12,30,93,0,10,3,7,1
2,2023,66902503,871,32,25,59,32,128,78,59,65,10,0,26,5,3,0
1,2023,96273746,451,33,10,126,7,130,82,69,83,3,0,27,5,7,1
1,2023,430977451,1783,27,26,124,15,127,80,74,77,36,0,11,4,1,1
1,2011,284819874,9389,46,24,122,282,150,42,20,86,21,0,9,9,5,0
2,2023,721975598,5724,44,119,108,254,122,78,50,63,27,0,9,5,5,1
